City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1489,Ostersund,SE,63.1792,14.6357,18.05,100,90,8.05,light snow
1490,Stephenville Crossing,CA,48.5,-58.4318,28.53,80,90,28.77,light snow
1491,Tokat,TR,40.4167,36.5833,37.99,38,19,6.24,few clouds
1492,Manali,IN,13.1667,80.2667,89.08,63,52,4.88,broken clouds
1493,Singaparna,ID,-7.3515,108.111,80.44,76,92,4.68,overcast clouds
1494,Guanica,PR,17.9716,-66.908,77.2,89,12,1.99,few clouds
1495,Benguela,AO,-12.5763,13.4055,76.84,85,100,1.41,overcast clouds
1496,Luohe,CN,33.5717,114.0353,60.85,22,37,4.14,scattered clouds
1497,La Plata,AR,-34.9215,-57.9545,69.01,78,100,6.46,light rain
1498,Parit Buntar,MY,5.1267,100.4932,89.62,74,76,0.96,broken clouds
1499,Nardaran,AZ,40.5561,50.0056,49.64,81,75,13.8,broken clouds
1500,Lamballe,FR,48.4676,-2.5144,50.11,91,100,23.53,overcast clouds
1501,Correntina,BR,-13.3433,-44.6367,67.96,99,99,3.09,overcast clouds
1502,Aleksandro-Nevskiy,RU,53.4751,40.2095,26.28,82,23,13.38,few clouds
1503,Houston,US,29.7633,-95.3633,68.97,84,20,3.0,mist
1504,Along,IN,28.1667,94.7667,78.87,42,100,1.43,overcast clouds
1505,Dudinka,RU,69.4058,86.1778,-29.38,97,88,9.1,overcast clouds
1506,Ixtapa,MX,20.7,-105.2,76.23,91,22,2.06,few clouds
1507,Sinnar,SD,13.5691,33.5672,86.27,34,0,14.54,clear sky
1508,Kayan,MM,16.9056,96.5631,87.94,51,75,7.29,broken clouds
1509,Bagdarin,RU,54.4333,113.6,18.46,90,100,1.66,overcast clouds
1510,Bougouni,ML,11.417,-7.479,70.45,27,79,3.31,broken clouds
1511,Araruama,BR,-22.8728,-42.3431,66.94,88,0,1.39,clear sky
1512,Gombong,ID,-7.6072,109.5142,86.83,71,81,9.48,broken clouds
1513,Kharitonovo,RU,61.4009,47.4978,4.91,94,100,15.37,snow
1514,Civitavecchia,IT,42.0933,11.7967,45.45,64,100,3.65,overcast clouds
1515,Iralaya,HN,15.0,-83.2333,76.53,88,87,7.74,overcast clouds
1516,Verkhovye,RU,52.8119,37.2425,25.47,92,88,13.35,overcast clouds
1517,Barzas,RU,55.7167,86.3167,26.83,94,100,12.91,light snow
1518,El Reten,CO,10.6114,-74.2682,80.51,75,100,4.14,overcast clouds
1519,Nago,JP,26.5881,127.9761,66.63,54,69,17.6,broken clouds
1520,Ahtopol,BG,42.1,27.95,45.07,88,100,4.45,overcast clouds
1521,Sant Just Desvern,ES,41.386,2.0757,51.69,79,20,1.01,few clouds
1522,Umm Kaddadah,SD,13.6017,26.6876,76.64,30,0,16.42,clear sky
1523,Waingapu,ID,-9.6567,120.2641,86.38,65,27,7.76,scattered clouds
1524,Prainha,BR,-1.8,-53.48,72.41,95,75,0.4,broken clouds
1525,Englewood,US,39.6478,-104.9878,50.81,65,1,0.0,clear sky
1526,Puerto Suarez,BO,-18.95,-57.8,80.89,73,100,3.02,overcast clouds
1527,Jackson,US,42.4165,-122.8345,43.75,100,90,3.44,mist
1528,Marrakesh,MA,31.6315,-8.0083,39.27,87,0,3.44,clear sky
1529,Boa Vista,BR,2.8197,-60.6733,76.98,78,0,3.44,clear sky
1530,Ta Khmau,KH,11.4833,104.95,80.65,44,40,11.5,scattered clouds
1531,Valparaiso,CL,-33.0393,-71.6273,51.44,66,0,4.61,clear sky
1532,Damghan,IR,36.1683,54.348,43.7,42,0,2.04,clear sky
1533,Yendi,GH,9.4427,-0.0099,75.47,26,100,4.29,overcast clouds
1534,Zadar,HR,44.1197,15.2422,34.65,80,0,0.0,clear sky
1535,Huangpi,CN,30.8845,114.3779,62.71,27,0,4.47,clear sky
1536,Zlobin,HR,45.2924,14.6541,30.16,61,100,3.33,overcast clouds
1537,Jiuquan,CN,39.7432,98.5174,41.97,19,0,4.12,clear sky
1538,Passo De Camaragibe,BR,-9.2368,-35.4901,78.35,94,44,3.49,scattered clouds
1539,Mangai,CD,-4.05,19.5333,75.06,90,99,2.01,overcast clouds
1540,Saquarema,BR,-22.92,-42.5103,67.77,86,0,1.79,clear sky
1541,San Angelo,US,31.4638,-100.437,65.53,70,1,8.01,clear sky
1542,North Las Vegas,US,36.1989,-115.1175,59.2,33,1,3.44,clear sky
1543,Weyburn,CA,49.6668,-103.8511,19.62,73,98,5.75,overcast clouds
1544,Scarborough,GB,54.2797,-0.4044,40.57,89,100,1.99,overcast clouds
1545,Kingman,US,35.1894,-114.053,51.28,36,1,0.0,clear sky
1546,Two Rivers,US,44.1539,-87.5693,35.87,93,1,8.99,clear sky
1547,Pouembout,NC,-21.1333,164.9,78.4,81,100,3.22,overcast clouds
1548,Dzheguta,RU,43.9671,42.0426,46.81,40,48,3.8,scattered clouds
1549,Wasilla,US,61.5814,-149.4394,7.36,78,1,8.05,light snow
1550,Vostochnyy,RU,55.8167,37.8667,28.38,87,100,14.56,overcast clouds
1551,Dali,CN,25.7,100.1833,59.79,55,92,1.95,overcast clouds
1552,Ambunti,PG,-4.2365,142.8448,80.73,90,100,2.55,overcast clouds
1553,Teya,RU,60.3778,92.6267,24.33,85,100,13.4,light snow
1554,Bhatgaon,IN,21.15,81.7,78.98,53,18,6.91,haze
1555,Miyako,JP,39.6367,141.9525,40.91,88,77,7.02,broken clouds
1556,Rumoi,JP,43.9344,141.6428,30.02,77,89,17.36,light snow
1557,Uvat,RU,59.1433,68.8953,19.27,94,61,6.44,broken clouds
1558,Vizinga,RU,61.0749,50.1031,7.2,95,100,13.24,snow
1559,Gimli,CA,50.6336,-96.9907,18.43,73,20,6.91,few clouds
1560,Rincon,US,32.296,-81.2354,58.86,82,1,4.61,clear sky
1561,Brandfort,ZA,-28.7001,26.4597,62.01,85,100,8.86,light rain
1562,Sosva,RU,59.1766,61.8558,25.14,87,98,5.55,overcast clouds
1563,Biak,ID,-0.9131,122.8766,82.15,75,100,0.87,light rain
1564,Kayerkan,RU,69.3497,87.7602,-30.48,74,100,4.59,overcast clouds
1565,Dong Hoi,VN,17.4833,106.6,72.36,55,87,12.93,overcast clouds
1566,Buriti Bravo,BR,-5.8372,-43.8336,70.7,99,100,2.73,overcast clouds
1567,Piotrkow Trybunalski,PL,51.4055,19.7032,33.19,12,100,16.2,overcast clouds
1568,Magnor,SE,59.9511,12.1996,22.41,88,97,5.5,overcast clouds
1569,Puerto Penasco,MX,31.3167,-113.5333,69.15,50,70,3.49,broken clouds
1570,Dmytrivka,UA,45.9717,28.9864,35.08,91,100,10.13,light rain
1571,Trelew,AR,-43.249,-65.3051,60.94,40,0,23.8,clear sky
1572,Pojuca,BR,-12.4231,-38.326,80.01,92,100,2.57,overcast clouds
1573,Lugovoy,KZ,42.9472,72.7644,50.86,64,100,7.72,overcast clouds
1574,Churapcha,RU,62.0025,132.4325,-29.72,95,100,10.0,overcast clouds
1575,Vangaindrano,MG,-23.35,47.6,84.33,64,44,10.09,scattered clouds
1576,Askiz,RU,53.1319,90.5264,32.94,62,100,18.03,overcast clouds
1577,Elk City,US,35.412,-99.4043,50.68,62,1,13.8,clear sky
1578,Pinawa,CA,50.1489,-95.8811,14.47,83,84,12.59,broken clouds
1579,Zelenogorskiy,RU,55.0333,87.0,27.12,95,100,11.7,snow
1580,Kamina,CD,-8.7386,24.9906,76.33,71,17,2.21,few clouds
1581,Pechora,RU,65.1472,57.2244,-15.12,94,29,7.16,scattered clouds
1582,Conchas,BR,-23.0153,-48.0106,61.72,85,0,9.71,clear sky
1583,Arjona,CO,10.2544,-75.3439,79.86,91,100,2.44,overcast clouds
1584,Kokstad,ZA,-30.5472,29.4241,60.67,92,100,4.03,light rain
1585,Orange Cove,US,36.6244,-119.3137,53.26,47,0,3.02,clear sky
1586,Leshukonskoye,RU,64.8989,45.7622,-2.36,96,57,7.4,broken clouds
