City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,New Norfolk,AU,2021-11-29 21:12:28,-42.7826,147.0587,60.66,75,29,3.18
200,Hambantota,LK,2021-11-29 21:12:28,6.1241,81.1185,77.38,86,82,4.97
201,Pyaozerskiy,RU,2021-11-29 21:12:28,65.8333,31.1667,7.36,95,100,3.15
202,Soyo,AO,2021-11-29 21:12:28,-6.1349,12.3689,79.63,88,100,8.93
203,Rio Verde De Mato Grosso,BR,2021-11-29 21:12:29,-18.9181,-54.8442,79.25,85,94,5.64
204,Lake Jackson,US,2021-11-29 21:12:29,29.0339,-95.4344,72.14,62,1,1.01
205,Thap Than,TH,2021-11-29 21:12:29,15.4606,99.8917,71.13,84,100,5.03
206,Mogok,MM,2021-11-29 21:12:30,22.9167,96.5,55.54,85,65,1.99
207,Gorontalo,ID,2021-11-29 21:12:30,0.5412,123.0595,74.79,96,100,1.23
208,Praya,CV,2021-11-29 21:12:30,14.9215,-23.5087,75.74,69,40,21.85
209,Ribeira Grande,PT,2021-11-29 21:12:30,38.5167,-28.7,57.6,67,20,8.05
210,San Antonio,US,2021-11-29 21:11:56,29.4241,-98.4936,74.41,37,1,1.01
211,Harper,LR,2021-11-29 21:12:31,4.375,-7.7169,79.83,77,100,5.7
212,Boueni,YT,2021-11-29 21:12:31,-12.9025,45.0761,78.78,79,8,8.72
213,Westport,US,2021-11-29 21:12:31,41.1415,-73.3579,41.25,65,40,3.0
214,Denpasar,ID,2021-11-29 21:12:32,-8.65,115.2167,74.86,94,75,6.91
215,Kousseri,CM,2021-11-29 21:12:32,12.0769,15.0306,80.96,24,28,10.56
216,Tiznit,MA,2021-11-29 21:12:32,29.5833,-9.5,57.34,42,0,0.83
217,Quchan,IR,2021-11-29 21:12:32,37.106,58.5095,44.73,51,16,1.32
218,San Jose De Las Lajas,CU,2021-11-29 21:12:33,22.9614,-82.1511,72.52,59,52,11.27
219,Nikolskoye,RU,2021-11-29 21:12:33,59.7035,30.7861,25.39,95,100,11.01
220,Caborca,MX,2021-11-29 21:12:33,30.5838,-111.101,77.67,19,0,2.62
221,Alyangula,AU,2021-11-29 21:12:34,-13.8483,136.4192,83.66,67,18,2.28
222,Grand Bend,CA,2021-11-29 21:12:34,43.3168,-81.7498,35.98,71,93,8.01
223,Zhigansk,RU,2021-11-29 21:12:34,66.7697,123.3711,-16.35,98,100,0.78
224,Salamanca,ES,2021-11-29 21:13:34,40.8333,-6.0,39.99,86,58,3.0
225,Roald,NO,2021-11-29 21:13:35,62.5833,6.1333,37.54,70,75,16.11
226,Saint-Pierre,RE,2021-11-29 21:13:35,-21.3393,55.4781,76.64,81,40,9.22
