City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1809,Ewa Beach,US,71.55,clear sky,21.3156,-158.0072,Uncle Junior Robert
1814,Lengshuitan,CN,64.83,broken clouds,26.4111,111.5956,Jialong Hotel
1816,Clarence Town,AU,69.98,light rain,-32.5833,151.7833,River Downs Cottage
1817,Lethem,GY,75.38,broken clouds,3.3803,-59.7968,Savannah Inn
1820,Salvador,SV,73.8,overcast clouds,13.8333,-88.9167,Chico's Ranch
1821,Tripoli,LY,60.3,overcast clouds,32.8752,13.1875,Hotel Al-Safwa
1825,Kadungora,ID,76.53,overcast clouds,-7.0899,107.8864,Villa Kadeudeuh
1827,Wesselsbron,ZA,62.67,light rain,-27.8549,26.3658,Wesselsbron Lodge
1829,Mabaruma,GY,70.61,broken clouds,8.2,-59.7833,Monty Brooms Guest House
1837,Jiujiang,CN,61.07,overcast clouds,29.7333,115.9833,Tianhai Fashion Theme Hotel
1839,Matay,EG,63.39,overcast clouds,28.419,30.7792,Nag Aespen
1840,Foumban,CM,70.68,overcast clouds,5.7291,10.9001,Hotel Pekassa De Karche
1842,Nanyang,CN,61.84,clear sky,32.9947,112.5328,Wolong Memory Hotel
1843,Encruzilhada,BR,66.02,overcast clouds,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
1845,Odweyne,SO,76.78,clear sky,9.4092,45.064,Eng Hiirey House
1852,Pimentel,PE,64.36,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
1856,Katol,IN,79.36,clear sky,21.2667,78.5833,Rocks Celibration lawn
1860,Nizwa,OM,75.87,clear sky,22.9333,57.5333,Orient Apartments
1862,Estacion Coahuila,MX,61.97,clear sky,32.1939,-115.0017,carroceria y pintura Kikones
1863,Jala,MX,62.69,clear sky,21.0833,-104.4333,"""CASA CORITA"""
1867,Lalibela,ET,65.55,clear sky,12.0333,39.0333,Honey Land Hotel Lalibela
1869,Boditi,ET,67.86,few clouds,6.9667,37.8667,Me'aza Metasebiya Hotel.
1876,Beohari,IN,79.74,clear sky,24.05,81.3833,Hotel Madhav Madhuvan
1879,Panzhihua,CN,62.67,overcast clouds,26.5851,101.7128,Electric Power Hotel
1881,Homestead,US,73.99,clear sky,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
1882,Raisen,IN,74.3,clear sky,23.3333,77.8,Hotel Amogh
1884,Nazareno,MX,65.14,clear sky,25.3833,-103.4167,Palmas Suite
1890,Altamira,BR,72.75,overcast clouds,-3.2033,-52.2064,Requinte Hotel
1892,Buta,CD,77.59,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
1893,Haifa,IL,65.21,clear sky,32.8156,34.9892,Dan Panorama Haifa Hotel
1896,La Orilla,MX,74.28,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
1897,Ilam,NP,67.24,broken clouds,26.9167,87.9167,चियाबारी कटेज
1899,Bella Union,UY,63.16,overcast clouds,-30.2752,-57.6007,Saville Free Shop
1901,Sann,PK,67.91,clear sky,26.0418,68.1378,New Sindhri Hotel
1902,Cerro Largo,BR,65.75,clear sky,-28.1486,-54.7381,Hotel Missões
